Long,Lat,Star,Country
-73.98793,40.76071,4.5,USA
-73.994516,40.755403,4.0,USA
-73.98502,40.75264,4.0,USA
-73.991332,40.7606544,4.0,USA
-73.9916151018524,40.7522805974308,4.0,USA
-73.98532,40.75596,4.0,USA
-73.99245,40.75414,5.0,USA
-74.0049896784992,40.7468940064083,4.0,USA
-73.9990926,40.744541,4.0,USA
-73.9863122632311,40.747573158626,4.0,USA
-73.9877717,40.7575067,4.5,USA
-73.98648,40.74747,4.0,USA
-73.998389,40.755311,4.0,USA
-74.001619,40.753315,3.5,USA
-73.9914546,40.7535849,4.0,USA
-73.98892,40.75185,4.5,USA
-73.9900399,40.74514,4.0,USA
-73.98671,40.75998,4.0,USA
-73.99466,40.74964,4.0,USA
-73.986884,40.747514,4.0,USA
-73.984223,40.752155,4.0,USA
-73.98878,40.74424,4.0,USA
-73.9867701,40.7483352,4.0,USA
-73.9866844540098,40.7574955824307,4.0,USA
-74.00047,40.748209,4.0,USA
-73.99843,40.75499,4.0,USA
-74.0056084,40.7454251,4.0,USA
-73.99272,40.75264,4.5,USA
-73.99115,40.76095,4.5,USA
-73.9949174,40.7555499,4.0,USA
-73.9945145,40.7486725,4.0,USA
-73.99031,40.75427,4.0,USA
-73.9915989,40.7474471,4.0,USA
-73.98539,40.75403,4.0,USA
-73.99071,40.76138,4.0,USA
-73.98473,40.74626,4.0,USA
-73.99039,40.75409,4.0,USA
-73.9913101196289,40.7593269348145,4.5,USA
-73.9983051,40.7457768,4.0,USA
-73.994564488901,40.760506289326,4.0,USA
-73.98628,40.75059,4.5,USA
-73.9925113993899,40.7582902125633,4.0,USA
-73.99062,40.74839,4.0,USA
-73.995498,40.754296,4.0,USA
-73.9937,40.75619,4.0,USA
-73.9953231811523,40.7502059936523,4.0,USA
-73.9893699,40.76015,4.0,USA
-73.99374,40.75374,4.0,USA
-73.9862447208321,40.747503631444,4.0,USA
-73.99014,40.74437,4.0,USA
-73.9960898,40.7533149,4.0,USA
-74.0037054,40.7476868,4.5,USA
-73.99115,40.75463,4.0,USA
-74.001579,40.751716,4.0,USA
-73.99396,40.76122,4.0,USA
-73.985524,40.746774,4.0,USA
-73.987011312828,40.7471774721074,4.0,USA
-74.0037312,40.7476515,4.5,USA
-73.9863203465939,40.7501853096499,4.0,USA
-73.9887237548828,40.7524299621582,4.5,USA
-73.9916682628767,40.7478754059662,4.0,USA
-73.9866291359066,40.7553317654854,4.5,USA
-74.0030212402344,40.7507476806641,4.0,USA
-73.99049,40.74452,4.5,USA
-73.98649,40.74828,4.0,USA
-73.98989,40.75908,4.0,USA
-74.0060838,40.7425547,4.5,USA
-73.98654,40.7582662685627,4.0,USA
-73.9905203491259,40.7609037798437,4.5,USA
-73.9879,40.75113,4.0,USA
-74.002525,40.750499,4.0,USA
-73.9939373214268,40.7463253739467,4.0,USA
-73.98939,40.75238,4.0,USA
-73.9981307,40.7504318,4.0,USA
-73.986198425293,40.7502365112305,4.0,USA
-74.00625,40.7423387008486,4.5,USA
-73.9941641,40.7449948,4.0,USA
-73.9851724,40.7468603,4.0,USA
-74.004226,40.748073,4.0,USA
-73.9140900061979,40.7724500021756,4.0,USA
-73.9845201,40.746854,4.0,USA
-73.9930725097656,40.7444458007812,4.5,USA
-73.98445,40.75274,4.0,USA
-73.99282,40.74829,4.0,USA
-73.994827,40.760929,4.0,USA
-74.00481,40.7473,4.0,USA
-73.9867554408843,40.7475125111924,4.5,USA
-73.98517,40.75189,4.0,USA
-73.9860519,40.7614625,4.0,USA
-73.9934939850447,40.7447532620452,4.0,USA
-73.9880464381069,40.7434728927194,4.0,USA
-73.9856,40.744509,4.0,USA
-74.0054779646483,40.7515866154803,4.0,USA
-73.98416,40.75831,4.0,USA
-73.98778,40.74435,4.0,USA
-73.9870039190341,40.7545841255557,4.0,USA
-74.0015369,40.7459138,4.0,USA
-73.991852,40.752132,4.0,USA
-73.9854379268717,40.7595053740559,4.0,USA
-73.98652,40.75071,4.0,USA
-73.995028194335,40.7440494396358,4.0,USA
-73.992897071317,40.7494073226468,4.0,USA
-74.0041249,40.7508871,3.5,USA
-73.99247,40.75496,4.0,USA
-73.98948,40.74631,4.0,USA
-74.002863,40.745044,4.0,USA
